StoreName,Event,occupancy,Start hr,Start Min,End hr,End Min,Day Start,Month Start,Year Start, System
Primark  London W12 7GF  UK,Ev20240310438,true,11,30,18,0,10,3,2024,Trend
Primark  London N22 6YQ  UK,Ev20240310652,true,11,0,17,0,10,3,2024,Trend
Primark  London W5 5JY  UK,Ev20240309644,true,9,0,19,30,9,3,2024,Trend
Primark  London SE7 7SX  UK,Ev20240310486,true,11,0,17,0,10,3,2024,Trend
Primark  London SW18 4TF  UK,Ev20240310514,true,10,30,17,0,10,3,2024,Trend
Primark  London E6 1HZ  UK,Ev20240308504,true,9,0,20,0,8,3,2024,Cylon
Primark  London E6 1HZ  UK,Ev20240309504,true,9,0,20,0,9,3,2024,Cylon
Primark  London E6 1HZ  UK,Ev20240310504,true,11,0,17,0,10,3,2024,Cylon
Primark  London SE13 6JL  UK,Ev20240311533,true,9,0,19,0,11,3,2024,Trend
Primark  London SE13 6JL  UK,Ev20240312533,true,9,0,19,0,12,3,2024,Trend
Primark  London SE13 6JL  UK,Ev20240313533,true,9,0,19,0,13,3,2024,Trend
Primark  London SE13 6JL  UK,Ev20240314533,true,9,0,19,0,14,3,2024,Trend
Primark  London SE13 6JL  UK,Ev20240308533,true,9,0,19,0,8,3,2024,Trend
Primark  London SE13 6JL  UK,Ev20240309533,true,9,0,19,0,9,3,2024,Trend
Primark  Ilford IG1 1DE  UK,Ev20240310661,true,11,0,17,0,10,3,2024,Trend
Primark  Bromley BR1 1HE  UK,Ev20240310496,true,11,0,17,0,10,3,2024,Cylon
Primark  Croydon CR9 1SX  UK,Ev20240311609,true,9,0,19,30,11,3,2024,Trend
Primark  Croydon CR9 1SX  UK,Ev20240312609,true,9,0,19,30,12,3,2024,Trend
Primark  Croydon CR9 1SX  UK,Ev20240313609,true,9,0,19,30,13,3,2024,Trend
Primark  Croydon CR9 1SX  UK,Ev20240314609,true,9,0,20,30,14,3,2024,Trend
Primark  Croydon CR9 1SX  UK,Ev20240310609,true,10,30,17,0,10,3,2024,Trend
Primark  Harrow HA1 1AT  UK,Ev20240310437,true,10,30,17,0,10,3,2024,Trend
Primark  Sutton SM1 1AX  UK,Ev20240310636,true,10,30,16,30,10,3,2024,Trend
Primark  Greenhithe DA9 9SQ  UK,Ev20240310444,true,11,0,17,0,10,3,2024,Trend
Primark  Crawley RH10 1FP  UK,Ev20240310685,true,10,0,16,30,10,3,2024,Trend
Primark  Winchester SO23 8QY  UK,Ev20240310657,true,10,0,16,30,10,3,2024,Trend
Primark  Southampton SO14 7DQ  UK,Ev20240310518,true,10,30,17,0,10,3,2024,Trend
Primark  Portsmouth PO1 1BU  UK,Ev20240310632,true,10,0,16,30,10,3,2024,Cylon
Primark  Leeds LS11 8LU  UK,Ev20240310623,true,11,0,17,0,10,3,2024,Cylon
Primark  Kent CT10 2BF  UK,Ev20240311672,true,8,30,20,0,11,3,2024,Trend
Primark  Kent CT10 2BF  UK,Ev20240312672,true,8,30,20,0,12,3,2024,Trend
Primark  Kent CT10 2BF  UK,Ev20240313672,true,8,30,20,0,13,3,2024,Trend
Primark  Kent CT10 2BF  UK,Ev20240314672,true,8,30,20,0,14,3,2024,Trend
Primark  Kent CT10 2BF  UK,Ev20240308672,true,8,30,20,0,8,3,2024,Trend
Primark  Kent CT10 2BF  UK,Ev20240309672,true,8,30,19,0,9,3,2024,Trend
Primark  Canterbury CT1 2DE  UK,Ev20240311688,true,8,30,18,0,11,3,2024,Trend
Primark  Canterbury CT1 2DE  UK,Ev20240310688,true,11,0,17,0,10,3,2024,Trend
Primark  Burnley BB11 1BB  UK,Ev20240310441,true,10,30,16,30,10,3,2024,Trend
Primark  Blackburn BB1 7JG  UK,Ev20240309646,true,9,0,17,30,9,3,2024,Cylon
Primark  Blackburn BB1 7JG  UK,Ev20240310646,true,10,30,16,30,10,3,2024,Cylon
Primark  Southport PR8 1AE  UK,Ev20240310635,true,10,30,16,30,10,3,2024,Trend
Primark  Blackpool FY1 4RY  UK,Ev20240311602,true,9,0,17,30,11,3,2024,Trend
Primark  Blackpool FY1 4RY  UK,Ev20240312602,true,9,0,17,30,12,3,2024,Trend
Primark  Blackpool FY1 4RY  UK,Ev20240313602,true,9,0,17,30,13,3,2024,Trend
Primark  Blackpool FY1 4RY  UK,Ev20240314602,true,9,0,17,30,14,3,2024,Trend
Primark  Blackpool FY1 4RY  UK,Ev20240308602,true,9,0,17,30,8,3,2024,Trend
Primark  Bury BL9 0ND  UK,Ev20240311653,true,10,0,17,0,11,3,2024,Cylon
Primark  Bury BL9 0ND  UK,Ev20240310653,true,10,30,17,0,10,3,2024,Cylon
Primark  Grimsby DN31 1QQ  UK,Ev20240308565,true,8,30,17,30,8,3,2024,Trend
Primark  Grimsby DN31 1QQ  UK,Ev20240309565,true,8,30,17,30,9,3,2024,Trend
Primark  Oxford OX1 1PE  UK,Ev20240310440,true,11,0,17,0,10,3,2024,Trend
Primark  Bath BA1 1QH  UK,Ev20240310687,true,11,0,17,0,10,3,2024,Trend
Primark  Hastings TN34 1PN  UK,Ev20240310439,true,9,30,16,0,10,3,2024,Trend
Primark  Eastbourne BN21 3NW  UK,Ev20240310614,true,10,0,16,30,10,3,2024,Cylon
Primark  Swindon SN1 1JQ  UK,Ev20240310638,true,10,0,16,0,10,3,2024,Trend
Primark  York YO1 9NT  UK,Ev20240310478,true,11,0,17,30,10,3,2024,Trend
Primark  Swansea SA1 3LP  UK,Ev20240310637,true,10,30,16,30,10,3,2024,Trend
Primark  Llandudno LL30 1PX  UK,Ev20240310694,true,10,30,17,0,10,3,2024,Trend
Primark  Llanelli SA14 9UY  UK,Ev20240310491,true,10,30,17,0,10,3,2024,Trend
Primark  Hamilton ML3 7AW  UK,Ev20240312553,true,10,0,17,0,12,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240311621,true,8,30,19,0,11,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240312621,true,8,30,19,0,12,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240313621,true,8,30,19,0,13,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240314621,true,8,30,19,0,14,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240308621,true,8,30,19,0,8,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240309621,true,8,30,19,0,9,3,2024,Trend
Primark  Inverness IV1 1HG  UK,Ev20240310621,true,10,0,17,30,10,3,2024,Trend
